,id,source,console
0,0,来自北京,先把双休，加班费，辞退补偿金，社保足额缴纳这些落实了，再谈进阶课程吧。政策的初衷都是好的，很多小企业根本不会执行
1,1,来自安徽,不多你给
2,2,来自北京,你这话题带得就好像人人都有似的的。别误导大家，这是分行业分工种的
3,3,来自新疆,一天到晚的上班 人都麻了 双休落实一
4,4,来自浙江,请先把双休落实，强制双休，上班要上吐了，累死
5,5,来自山东,工资都发不全了，公积金都拖拉着不发了，还发这发那的
6,6,来自河南,真就四个字，不嫌丢人
7,7,来自北京,"我在医院楼顶,想跳下去"
8,8,来自广东,40度放高温假，于是永远报39度
9,9,来自江苏,国企都带头不
10,10,来自湖南,多200 有什么用呢
11,11,来自广东,五险一金能按实际工资缴了再说，高温费就算了，反正也是不是所有岗位都有，都是长期高温室外工作人才多那么点，不羡慕
12,12,来自四川,这些都是给坐衙门的制定
13,13,,高温补贴要来啦
14,14,来自浙江,公职人员别拿了钱还在这显
15,15,来自北京,强制执行可否？别光说啊
16,16,来自内蒙古,不会的，38°的时候 才给点菊花呢  33°可能觉得喝白开水就好
17,17,来自四川,有的概率不大
18,18,来自北京,先把双休，加班费，辞退补偿金，社保足额缴纳这些落实了，再谈进阶课程吧。政策的初衷都是好的，很多小企业根本不会执行
19,19,来自安徽,不多你给
20,20,来自北京,你这话题带得就好像人人都有似的的。别误导大家，这是分行业分工种的
21,21,来自新疆,一天到晚的上班 人都麻了 双休落实一
22,22,来自浙江,请先把双休落实，强制双休，上班要上吐了，累死
23,23,来自山东,工资都发不全了，公积金都拖拉着不发了，还发这发那的
24,24,来自河南,真就四个字，不嫌丢人
25,25,来自北京,"我在医院楼顶,想跳下去"
26,26,来自广东,40度放高温假，于是永远报39度
27,27,来自江苏,国企都带头不
28,28,来自湖南,多200 有什么用呢
29,29,来自广东,五险一金能按实际工资缴了再说，高温费就算了，反正也是不是所有岗位都有，都是长期高温室外工作人才多那么点，不羡慕
30,30,来自四川,这些都是给坐衙门的制定
31,31,,高温补贴要来啦
32,32,来自浙江,公职人员别拿了钱还在这显
33,33,来自北京,强制执行可否？别光说啊
34,34,来自内蒙古,不会的，38°的时候 才给点菊花呢  33°可能觉得喝白开水就好
35,35,来自四川,有的概率不大
36,36,来自湖北,你不说我都忘了高温补贴要来了
37,37,来自广东,这不是月薪2000的我考虑的
38,38,来自广东,又到了喜闻乐见的你法我笑环节[可愛
39,39,来自天津,或
40,40,来自江苏,大哥，你说出这段话的时候想不想笑
41,41,来自江苏,我就问你你有吗
42,42,来自吉林,就想问啥时候给交社保
43,43,来自江苏,多一毛工资全给你们
44,44,来自河北,说说而已
45,45,来自广东,惠民
46,46,来自海南,高温补贴每年都有呀，4-10月七个月每月300
47,47,来自四川,这个高温津贴最应该给农民
48,48,来自陕西,有个锤
49,49,来自浙江,你看我信吗
50,50,来自广东,150块闹麻
51,51,来自福建,这个月就发了通知，暂停各项现金补贴
52,52,来自辽宁,小编会看评论吗？
53,53,来自广西,只闻其声，未见其影
54,54,来自北京,请问农民👨🌾也有吗
