,id,source,console
0,0,来自湖北,你不说我都忘了高温补贴要来了
1,1,来自广东,又到了喜闻乐见的你法我笑环节[可愛
2,2,来自广东,这不是月薪2000的我考虑的
3,3,来自天津,或
4,4,来自江苏,大哥，你说出这段话的时候想不想笑
5,5,来自四川,这个高温津贴最应该给农民
6,6,来自江苏,我就问你你有吗
7,7,来自吉林,就想问啥时候给交社保
8,8,来自江苏,多一毛工资全给你们
9,9,来自陕西,有个锤
10,10,来自河北,说说而已
11,11,来自广东,惠民
12,12,来自海南,高温补贴每年都有呀，4-10月七个月每月300
13,13,来自浙江,你看我信吗
14,14,来自广东,150块闹麻
15,15,来自福建,这个月就发了通知，暂停各项现金补贴
16,16,来自辽宁,小编会看评论吗？
17,17,来自广西,只闻其声，未见其影
18,18,来自北京,请问农民👨🌾也有吗
19,19,来自陕西,暑期快结束了才给 下个月决定离职了 累死
20,20,来自山东,给辅警的高温补贴也发一下好吗？夏天执勤真的好热好窒息
21,21,来自河南,评论区什么鬼。。。
22,22,来自四川,我以为我喝多了呢
23,23,来自新疆,你想多
24,24,来自上海,先把双休落实了再说
25,25,来自陕西,家人们，谁懂啊，西安这个天气，公司不给开空调。热死个人
26,26,来自河北,拖欠工资到现在还多一次钱呢
27,27,来自上海,希望越来越好
28,28,来自河南,你说说 我们听
29,29,来自广东,双休，加班费，落实下谢
30,30,来自河北,就说p
31,31,来自广东,就两百多。。
32,32,来自广西,或字用得
33,33,来自天津,什么单位这么好？
34,34,来自山西,室内温度也在35度以上
35,35,来自广东,公司不给说的再好听有啥用
36,36,来自北京,能先让企业遵纪守法吗
37,37,来自河北,多个空气，每个月都欠我们钱
38,38,来自贵州,工资都拖欠还指望这些 我怕把枕头垫高点
39,39,来自海南,我们高温费是4月至10月
40,40,来自辽宁,我们只有789三个月份有高温补贴
41,41,来自湖南,200
42,42,来自山东,这个 我们每年都有的
43,43,来自北京,呵呵呵呵呵
44,44,来自浙江,呵，双休请先落实一下，我的全勤奖让公司先还我
45,45,来自河南,呵
46,46,来自吉林,东北给
47,47,来自马来西亚,那么好
48,48,来自四川,真的？！
49,49,来自陕西,我们单位取消了高温补贴，搞笑
50,50,来自四川,你说儿
51,51,来自广东,要我跪地感谢
52,52,来自山东,瞎扯淡，不少公司都是朝三暮四，每月明着多出180，暗地里绩效扣出来。你猜我是怎么知道的
53,53,来自江苏,不
54,54,来自广东,开玩笑
55,55,来自山西,狗官在空调房都有补贴，普通人……hh
56,56,来自广东,评论翻车现场
57,57,来自北京,请问一下 新华社不让评论是什么情况？一脸蒙
58,58,来自福建,双休啥时候落实
59,59,来自广东,30
60,60,来自江苏,感觉落实不了，先把996/007解决了再
61,61,来自河北,不会多，最多给你一袋冰糖，一袋绿
62,62,来自陕西,医院连疫情补助都不发  第二波疫情都要来了
63,63,来自广东,说有什么用真的发到手上再说，每次都只是说说而
64,64,来自山东,真正需要的农名工 他们能领到
65,65,来自辽宁,………
66,66,来自湖南,我以为是要发疫情补贴啦
67,67,来自山东,公务员天天坐办公室有   真正需要的有几个能有
68,68,来自广东,首先，我要有一份工作…
69,69,来自江苏,国企 发的是购物卡，根本不是现
70,70,来自安徽,你自己信
71,71,来自湖南,要双休
72,72,来自河南,真给
73,73,来自四川,在我们三个月发了二百
74,74,来自广东,这盛世 活着好累啊
75,75,来自重庆,也许重庆要四十度以上才
76,76,来自墨西哥,到底谁投了我的北欧好胎啊
77,77,来自湖北,你在说什么？？！
78,78,来自山西,看看评论吧，别老坐在办公室打字
79,79,来自浙江,互联网不
80,80,来自江西,落不到实处，空喊口号有什么
81,81,来自山东,现在什么实际情况不知道吗
82,82,来自广东,有6
83,83,来自重庆,五险都不保
84,84,来自广东,能告诉我谁给吗
85,85,来自广东,我花呗每个月都会多一点我是知道的
86,86,来自浙江,别搞笑我
87,87,来自四川,自欺欺人，数据z
88,88,来自上海,何不食肉糜
89,89,来自四川,能按时执行八小时工作制，就很棒
90,90,来自江苏,300
91,91,来自广东,多发一点钱，都能上热搜…………
92,92,来自山西,先关心关心平凡岗位人群的基本福利需求吧，这个更疾苦更迫切，谢
93,93,来自广西,工资有点涨还想有补贴
94,94,来自山东,快拉倒吧
95,95,来自陕西,就这点补贴说的好像几万块似
96,96,来自福建,想的挺美，我公司工资都发不
97,97,来自海南,海南四月就开始有
98,98,来自北京,加剧矛盾对立？
99,99,来自上海,呵呵，上班路上也是高温
100,100,来自湖北,呵
101,101,来自陕西,有几个给
102,102,来自河北,划重点“或
103,103,来自云南,我希望落实强制五险一金
104,104,来自山西,先把双休和五险落实再说
105,105,来自云南,可是我在云南
106,106,来自浙江,双休8小时岗位制执行到位过吗？去年疫情我们公司双休了，结果是一周扣一天工资来完成的
107,107,来自河北,我们不一样，会多一根老冰
108,108,来自广东,多个毛
109,109,来自上海,双休落实吧！强制执行，行不行
110,110,来自河南,涨点吧 别发那一点丢人
111,111,来自河南,天天多一笔，多给谁了都
112,112,来自云南,我们这里十八线小县城 房价炒到1.2w 月薪平均2000
113,113,来自江苏,高温费不都是给坐办公室吹空调的人的
114,114,来自陕西,测
115,115,来自福建,能真正落地到位再说吧
116,116,来自广东,想太多了真的！每年都这样报道！根本不可
117,117,来自河南,只有坐办公室吹空调的人能领到高温补
118,118,来自福建,30
119,119,来自江苏,这个或将用的很妙
120,120,来自陕西,唉。都是
121,121,来自广东,我们好像是一天五块钱？记不清
122,122,来自广东,关我什么
123,123,来自广东,有那么好
124,124,来自浙江,一个月多200左
125,125,来自山东,学前教育可以发嘛！户外活动真的很热
