,id,source,console
0,0,来自河南,我感觉是疫情这几年憋的太难受
1,1,来自山东,威海人叫威海出来挨打
2,2,来自江苏,现在还堵在高速
3,3,来自北京,疫情结束之后第一个小长
4,4,来自黑龙江,口红效
5,5,来自广东,没有，呆在宿舍
6,6,来自辽宁,贫富差距太大
7,7,来自广东,五一消费会比较
8,8,来自广东,五一疯了，我还在上班，算正常
9,9,来自河南,还没到五一去
10,10,来自江苏,天时地利人
11,11,来自天津,躺在家里美滋滋
12,12,来自江西,原来穷的只有
13,13,来自江苏,准备在周边玩一
14,14,来自江苏,疫情三年，大家都憋坏
15,15,来自河南,五一的酒店有点小贵
16,16,来自黑龙江,憋了三年了，能不出去好好玩
17,17,来自黑龙江,看来没钱的只有我自
18,18,来自辽宁,“人从众”里，藏着好多人间温
19,19,来自中国,我也好想出去
20,20,来自江苏,原来穷的只有我
21,21,来自广东,五一和房价有关
22,22,来自江西,估计大学生
23,23,来自江苏,上班人就是我
24,24,来自四川,口红效
25,25,来自福建,往年也这样
26,26,来自安徽,家里蹲
27,27,来自河南,感觉全世界就我一个人在上
28,28,来自贵州,不还车贷我也可以
29,29,来自浙江,酒店价格简直高的离
30,30,来自河北,都说疫情之后大家都没钱了 但是我感觉真正没钱的只有
31,31,来自河南,所以网上说什么不重要，天天倡导单身，线下明白人都早早下手，天天说不生，年轻人一结婚就备孕，天天说反抗调休不出门，一放假水泄不通，总之呢，网上的话看看就好，现实点，站在自己的角度想想，不要被忽悠
32,32,来自湖南,因为把生孩子买房子的钱拿出去玩了
33,33,来自河北,疫情过后 看开了  生活就要自由一点 不要被房子车子 婚姻孩子 束缚 
34,34,来自云南,我和我老公现在在云南，三天花了一万多了
35,35,来自广东,经济确实衰退了 只是国内的不理性消费群体放大了节假日的消
36,36,来自四川,前面看大家都为调休吐槽，我以为没啥人去玩儿了，看来是我不去玩
37,37,来自北京,穷的人只能在家里，刷刷微博，追追剧
38,38,来自福建,贫富差距罢了 如果你觉得负重前行 一定有人替你岁月静
39,39,来自广东,今年五一酒店太贵了 都不舍得出去
40,40,来自内蒙古,我有钱出去玩，但是想想就全是人，我就呆在家里好了
41,41,来自北京,不要把自己整的那么压抑，开心最重要，出去玩玩放松放松心情比什么都重
42,42,来自广东,五一不放假，没有加班费，想辞职又不敢，一家老小要生活，不辞职，心里难受，活的不痛快
43,43,来自福建,订的早我四月初订上海酒店才300多，打电话跟你说啥理由让你退房都不要
44,44,来自河南,房价肯定唱衰是对的，其他的消费什么的起来就挺
45,45,来自河南,大家只是有选择的消费了，比如旅游美食
46,46,来自福建,旅游肯定爆，憋了多久了。房地产肯定都不
47,47,来自山东,疫情被憋疯了啊好不容易来个大长
48,48,来自河北,五一出行创下近几年新高 大家都需要好好放松一
49,49,来自江苏,我也有一种感觉只有我穷了。。。疫情影响的只有我
50,50,来自四川,也有可能只是恢复到2019以前的假期状态
51,51,来自江苏,呃 是不是有点呆
52,52,来自重庆,难道没人五一肝论文吗
53,53,来自辽宁,我不明白的是昨天半夜一点多沈阳老四季的人排到店门外去了～而且沈阳这两天下雨还挺冷了
54,54,来自江苏,作为一个住在海边海景小区的人，我就坐在家里，吹着海风听着歌，看你们卷
55,55,来自河南,仔细找找还是能有便宜的，平台光推送贵的，我都是用价格由低到高这样找的
56,56,来自天津,我有点害怕五一十一的高速 爱出事故
57,57,来自浙江,前几天住的时候才二百四十多
58,58,来自安徽,我就在家附近的旅游去打卡吧！
59,59,来自湖北,总有那么一部分人，这也不看好，那也不看好
60,60,来自河南,不用打脸，经济确实不好，虚假繁荣，十一，或者明年五一可能才是真正显示经济的一
61,61,来自河南,穷的只有我
62,62,来自天津,我应该趁着五一发一笔横财
63,63,来自贵州,三年疫情没宰了，今年必须狠狠宰
64,64,来自山东,来济南，感觉济南很干净，景点黑虎泉，大明湖，百花洲都是免费的，大明湖周围保安警察很多，满满的安全感。曲水亭街小桥流水人家，美好的一天
