,id,source,console
0,0,来自山东,要是有问题丞丞不会加入跑男的！真的都很体面
1,1,来自浙江,不爽姐姐的前男友 是什么不对的事吗 也不用刻意说明什么啊 能理解 人之常情
2,2,来自吉林,太喜欢他了
3,3,来自四川,不愧是范冰冰的弟弟，有范冰冰的影
4,4,来自上海,4.28来看看万一帆小可爱怎么搞定岳父吧
5,5,来自山东,差点成了继
6,6,来自江苏,我要是玩游戏时听到里面是很熟悉的朋友的声音我也会翻个白眼，不是很真实
7,7,来自辽宁,不如4.28看帅哥电影 人生路不
8,8,来自福建,丞哥还是收敛了
9,9,来自宁夏,看完都知道人家关系很好
10,10,来自广东,什么什么，你们怎么知道我4.28号要去看《人生路不熟》，现在私聊我的姐妹免费送一张电影票！！！（唯粉，广州越秀
11,11,来自黑龙江,范冰冰点赞了这条
12,12,来自湖南,怎么可能会关系好了，只不过这年头工作不好找，碰上了逢场作戏罢了，你们想也想的到，一个抛弃了自己亲姐的男人，你会和他关系好吗
13,13,来自云南,如果真的有什么  他就不会去当常驻！！！一天可劲替别人y
14,14,来自上海,放过范丞丞 多多关注新电影《人生路不熟
15,15,来自江苏,明显这是搞事情。
16,16,来自辽宁,咱就说，具体请哪个嘉宾真的互相不通气吗！真的关系不好就避开了！或者某一方施压不邀请另一方！
17,17,来自内蒙古,期待丞丞在4.28的电影《人生路不熟》
18,18,来自云南,去看了再说好吗
19,19,来自河南,yxh真是看热闹不嫌事
20,20,来自福建,我现在跟我姐前男友的关系也都可以啊。这很正常吧，只要不是前男友太渣
21,21,来自内蒙古,这又是个什么热度？奇奇怪怪的
22,22,来自广东,范丞丞人挺好的
23,23,来自河北,爱心石头来了小孩快
24,24,来自四川,哟这么关心范丞丞啊    断章取义果然还是“网友”在行
25,25,来自广东,我当时看到这个表情有点乱想丞丞了，但过后就没有
26,26,来自湖北,哈哈哈哈哈哈哈
27,27,来自贵州,人和平分手，肯定都没什么芥蒂了吧，这热搜也是无语
28,28,来自山东,过于真
29,29,来自河北,范兵兵是不知道有一种爱情叫明天，否则怎么会让李晨钻空子
30,30,来自河北,如果有啥那还上这个节目
31,31,来自广东,冰冰
32,32,来自河南,哈哈哈
33,33,来自云南,眼神咋了？
34,34,来自甘肃,我当时还在想，他为啥听见李晨声音翻白眼，突然想起来那是前姐夫
35,35,来自吉林,看成范冰冰(跪
36,36,来自广西,是我的话白眼翻得更狠
37,37,来自广东,你穷成这样？
38,38,来自河北,掩饰不
39,39,来自山东,要不然您还是看👀电影吧《人生路不熟》4.28上映
